"2001: A Space Odyssey",
"21 Jump Street",
"22 Jump Street",
"300",
"Alien",
"American Psycho",
"Anastasia",
"Avengers, The",
"Batman Begins",
"Big Lebowski, The",
"Butch Cassidy And The Sundance Kid",
"Cabin In The Woods, The",
"Captain America: Civil War",
"Captain America: The First Avenger",
"Christmas Vacation",
"Clockwork Orange, A",
"Commando",
"Dark Knight, The",
"Deadpool",
"Departed, The",
"Despicable Me 2",
"District 9",
"Django Unchained",
"Elf",
"Ex Machina",
"Fifth Element, The",
"Fight Club",
"Ghostbusters 1",
"Ghostbusters 2",
"Gladiator",
"Good, The Bad, And The Ugly, The",
"Goodfellas",
"Gran Torino",
"Grand Budapest Hotel, The",
"Grindhouse Presents: Death Proof",
"Guardians of the Galaxy",
"Hangover, The",
"Harry Potter 1: Harry Potter And The Sorcerer's Stone",
"Harry Potter 2: Harry Potter And The Chamber Of Secrets",
"Harry Potter 3: Harry Potter And The Prisoner Of Azkaban",
"Harry Potter 4: Harry Potter And The Goblet Of Fire",
"Harry Potter 5: Harry Potter And The Order Of The Phoenix",
"Harry Potter 6: Harry Potter And The Half-Blood Prince",
"Harry Potter 7: Harry Potter And The Deathly Hallows Part 1",
"Harry Potter 7: Harry Potter And The Deathly Hallows Part 2",
"Hateful Eight, The",
"Hot Fuzz",
"How The Grinch Stole Christmas",
"Hunger Games, The",
"Hunger Games, The: Catching Fire",
"Hunger Games, The: Mockingjay Part 1",
"Inception",
"Inglorious Basterds",
"Interstellar",
"Iron Man 1",
"Iron Man 2",
"Iron Man 3",
"Jackie Brown",
"Kick Ass",
"Kick-Ass 2",
"Kill Bill: Volume 1",
"Kill Bill: Volume 2",
"Kingsman: The Secret Service",
"Mad Max: Fury Road",
"Maleficent",
"Mortal Kombat: Annihilation",
"No Country For Old Men",
"Pacific Rim",
"Planet Of The Apes: Rise Of The Planet Of The Apes",
"Predator",
"Princess and The Frog, The",
"Pulp Fiction",
"Real Steel",
"Revenant, The",
"Scott Pilgrim Vs. The World",
"Shining, The",
"Shuan Of The Dead",
"Silence Of The Lambs, The",
"Sin City",
"Star Wars 1: The Phantom Menace",
"Star Wars 2: Attack Of The Clones",
"Star Wars 3: Revenge Of The Sith",
"Star Wars 4: A New Hope",
"Star Wars 5: The Empire Stikes Back",
"Star Wars 6: Return Of The Jedi",
"Star Wars 7: The Force Awakens",
"Super Troopers",
"Superbad",
"Talladega Nights: The Ballad of Ricky Bobby",
"Terminator, The",
"Thor: The Dark World",
"Titanic",
"Tron",
"Troy",
"True Grit",
"Twilight Saga, The: Breaking Dawn: Part 2",
"V For Vendetta",
"Willy Wonka And The Chocolate Factory",
"World's End, The",
"X Men: Days Of Future Past"
